id,first_name,last_name,email,gender,ip_address,created_at,age,lifetime_value,churn_risk_score,segment
224,Roldan,Ponceford,rponceford67@craigslist.org,Male,191.5.85.209,03/05/2025,74,10905,18899,Churn Risk
225,Kandace,Gillard,kgillard68@ifeng.com,Female,140.71.27.161,17/02/2025,66,2979,15519,Churn Risk
226,Mahalia,Ragbourne,mragbourne69@dedecms.com,Female,157.173.126.154,25/12/2024,79,4329,4668,New Signups (Last 30 Days)
227,Jourdan,Beake,jbeake6a@patch.com,Female,71.34.235.207,05/04/2025,79,13747,18417,Inactive > 90 Days
228,Suzie,Sabater,ssabater6b@joomla.org,Female,143.84.0.102,02/01/2025,24,12568,14701,New Signups (Last 30 Days)
229,Devan,Birdsall,dbirdsall6c@bluehost.com,Female,111.232.77.6,29/08/2025,64,6185,8632,Churn Risk
230,Bennett,Prestwich,bprestwich6d@chicagotribune.com,Male,149.22.82.149,30/06/2025,45,7699,16371,New Signups (Last 30 Days)
231,Raychel,Thain,rthain6e@github.io,Female,98.222.180.224,01/02/2025,20,18133,12355,New Signups (Last 30 Days)
232,Baron,Taye,btaye6f@buzzfeed.com,Male,159.117.250.32,26/03/2025,46,13255,7531,New Signups (Last 30 Days)
233,Barnabe,Sucre,bsucre6g@comsenz.com,Male,108.203.241.47,04/06/2025,29,4641,3590,High CLV Customers
234,Krishna,MacPadene,kmacpadene6h@china.com.cn,Male,8.142.38.121,05/11/2025,71,16550,11555,Churn Risk
235,Kristal,MacConnal,kmacconnal6i@lulu.com,Female,204.140.107.68,06/07/2025,31,12992,15506,High CLV Customers
236,Elva,Osgarby,eosgarby6j@spiegel.de,Female,5.89.158.9,14/04/2025,49,2953,7248,New Signups (Last 30 Days)
237,Kellsie,Savin,ksavin6k@unc.edu,Female,146.17.64.4,18/02/2025,30,18311,7703,Churn Risk
238,Tonya,Kures,tkures6l@nba.com,Female,129.241.0.73,09/12/2024,40,10389,13778,New Signups (Last 30 Days)
239,Gardener,Prin,gprin6m@biblegateway.com,Male,37.196.136.71,28/08/2025,23,18654,10985,Churn Risk
240,Cristy,Garretson,cgarretson6n@flavors.me,Female,171.36.196.128,10/02/2025,32,9942,1193,Churn Risk
241,Pascale,Shayes,pshayes6o@qq.com,Male,22.87.7.195,17/04/2025,45,18902,18378,Churn Risk
242,Cookie,Cliff,ccliff6p@mtv.com,Female,102.135.186.191,08/09/2025,24,5286,15620,Inactive > 90 Days
243,Taylor,Lampke,tlampke6q@storify.com,Male,77.113.56.164,14/10/2025,62,10274,11443,High CLV Customers
244,Rycca,Shankle,rshankle6r@umich.edu,Female,211.208.229.224,30/10/2025,58,5158,4592,High CLV Customers
245,Conroy,O'Hagerty,cohagerty6s@google.fr,Male,153.129.41.37,28/06/2025,38,17139,13032,High CLV Customers
246,Arlan,McGlaud,amcglaud6t@wp.com,Male,72.11.206.124,12/06/2025,32,3986,17321,High CLV Customers
247,Angelico,Yong,ayong6u@china.com.cn,Male,167.118.210.213,21/09/2025,42,11975,14972,New Signups (Last 30 Days)
248,Nappy,Paoletti,npaoletti6v@pbs.org,Male,8.229.58.108,12/07/2025,57,4901,13023,Inactive > 90 Days
249,Lynnet,Cogdon,lcogdon6w@google.com,Female,178.52.4.74,10/05/2025,39,6292,10613,Churn Risk
250,Augustus,Comizzoli,acomizzoli6x@elpais.com,Bigender,115.243.253.45,17/05/2025,68,5433,5906,New Signups (Last 30 Days)
251,Ker,Piggford,kpiggford6y@cafepress.com,Male,109.205.188.105,13/07/2025,29,13029,10328,Churn Risk
252,Babb,Fauning,bfauning6z@prlog.org,Female,70.108.53.6,17/11/2025,70,3804,15989,High CLV Customers
253,Halette,Wooderson,hwooderson70@g.co,Female,34.89.184.241,30/09/2025,40,6302,12841,High CLV Customers
254,Maddy,Romagosa,mromagosa71@1688.com,Male,0.201.117.199,22/09/2025,23,16992,3014,Churn Risk
255,Emmalyn,Izzett,eizzett72@xing.com,Bigender,102.126.25.119,20/11/2025,25,7277,9042,Churn Risk
256,Gerick,Kingsworth,gkingsworth73@sina.com.cn,Male,226.178.7.137,17/12/2024,36,7301,6060,Inactive > 90 Days
257,Rheba,Corr,rcorr74@devhub.com,Female,167.17.85.94,10/03/2025,68,2267,6164,Inactive > 90 Days
258,Umeko,Rubery,urubery75@mozilla.com,Female,156.5.66.227,08/03/2025,55,14399,5730,New Signups (Last 30 Days)
259,Amery,Le Sieur,alesieur76@ning.com,Genderfluid,150.227.77.89,22/06/2025,69,18860,15556,New Signups (Last 30 Days)
260,Halli,Rudeforth,hrudeforth77@whitehouse.gov,Female,178.20.83.148,22/03/2025,67,5475,2880,High CLV Customers
261,Baron,Kelemen,bkelemen78@ucoz.ru,Male,160.132.164.26,14/02/2025,75,11075,703,High CLV Customers
262,Jeana,Slucock,jslucock79@answers.com,Female,51.108.62.154,25/11/2025,38,4267,9529,Inactive > 90 Days
263,Sapphira,Feild,sfeild7a@archive.org,Female,130.28.183.25,27/04/2025,24,13299,7936,High CLV Customers
264,Delainey,Jaquest,djaquest7b@umich.edu,Male,121.91.82.18,18/01/2025,41,7710,4372,Churn Risk
265,Lissa,Bedburrow,lbedburrow7c@usa.gov,Female,23.19.191.24,07/04/2025,58,19148,808,New Signups (Last 30 Days)
266,Austine,Le Provest,aleprovest7d@alexa.com,Female,82.141.63.75,22/10/2025,73,16063,17485,Churn Risk
267,Pavla,Zelake,pzelake7e@baidu.com,Female,142.142.222.130,03/04/2025,40,11490,14644,New Signups (Last 30 Days)
268,West,Bourdice,wbourdice7f@china.com.cn,Male,108.174.236.22,17/07/2025,35,19701,19168,Inactive > 90 Days
269,Cynthea,Copplestone,ccopplestone7g@posterous.com,Female,247.69.61.66,04/08/2025,60,19637,9194,High CLV Customers
270,Jeremy,Squirrell,jsquirrell7h@furl.net,Male,141.222.26.6,09/07/2025,77,4600,4567,New Signups (Last 30 Days)
271,Gardener,Mor,gmor7i@ted.com,Male,232.23.219.213,25/08/2025,67,11865,1831,Inactive > 90 Days
272,Ginni,Flancinbaum,gflancinbaum7j@nyu.edu,Female,119.136.125.12,31/12/2024,21,6357,7879,High CLV Customers
273,Lynnea,Ferens,lferens7k@army.mil,Female,69.155.124.177,02/10/2025,79,7147,19816,Churn Risk
274,Mollee,Giovanazzi,mgiovanazzi7l@dropbox.com,Genderqueer,135.154.13.238,21/09/2025,54,15059,16431,Churn Risk
275,Lonee,Shenfisch,lshenfisch7m@washingtonpost.com,Female,169.146.12.2,06/03/2025,52,4859,14507,High CLV Customers
276,Shae,Aizik,saizik7n@printfriendly.com,Female,5.145.201.223,11/10/2025,27,7043,16985,Inactive > 90 Days
277,Liva,Cockrem,lcockrem7o@ihg.com,Female,27.37.232.195,22/09/2025,44,16964,7562,New Signups (Last 30 Days)
278,Vivianne,Lukacs,vlukacs7p@usatoday.com,Agender,40.229.209.116,03/06/2025,67,4725,2506,Inactive > 90 Days
279,Eran,Gatenby,egatenby7q@marriott.com,Female,124.170.119.170,27/04/2025,63,2467,6298,Churn Risk
280,Claudell,Thorp,cthorp7r@ehow.com,Male,1.75.131.173,28/03/2025,70,11117,16487,New Signups (Last 30 Days)
281,Edi,Frostdicke,efrostdicke7s@1und1.de,Female,160.225.41.206,02/02/2025,60,17906,1050,Inactive > 90 Days
282,Flossie,Garken,fgarken7t@si.edu,Female,231.166.110.250,03/04/2025,33,13935,9274,High CLV Customers
283,Lorene,While,lwhile7u@alibaba.com,Female,133.133.33.192,29/10/2025,61,17850,9885,New Signups (Last 30 Days)
284,Reinaldos,Ovize,rovize7v@ning.com,Male,13.211.175.132,22/04/2025,25,14207,17252,High CLV Customers
285,Townie,Bonsul,tbonsul7w@mozilla.org,Male,117.126.19.249,12/07/2025,46,19971,6480,Churn Risk
286,Coral,Mandre,cmandre7x@furl.net,Female,255.186.9.28,07/04/2025,77,6683,4776,High CLV Customers
287,Chrissy,Moring,cmoring7y@prnewswire.com,Male,185.17.118.89,10/06/2025,52,6012,13325,New Signups (Last 30 Days)
288,Nollie,McCorkell,nmccorkell7z@jugem.jp,Male,24.128.210.66,17/11/2025,48,12106,18075,New Signups (Last 30 Days)
289,Kingston,Siemantel,ksiemantel80@berkeley.edu,Male,252.213.226.98,18/09/2025,25,6724,14737,New Signups (Last 30 Days)
290,Sancho,Mayer,smayer81@fema.gov,Male,31.24.19.232,24/09/2025,57,4473,2637,Inactive > 90 Days
291,Ashbey,Durdy,adurdy82@cbslocal.com,Male,215.145.245.224,25/03/2025,69,14982,15400,Inactive > 90 Days
292,Phaidra,Burbidge,pburbidge83@google.com.au,Polygender,248.192.194.60,29/12/2024,23,18117,2736,Inactive > 90 Days
293,Wilbert,Melly,wmelly84@sina.com.cn,Male,243.116.116.255,10/11/2025,77,15576,3552,Inactive > 90 Days
294,Rachelle,Pitkethly,rpitkethly85@who.int,Genderqueer,253.133.134.198,04/09/2025,73,14027,18969,New Signups (Last 30 Days)
295,Emerson,Garroch,egarroch86@spiegel.de,Bigender,137.87.174.248,25/08/2025,34,10976,1590,High CLV Customers
296,Isador,Ballin,iballin87@rakuten.co.jp,Male,68.184.167.212,14/11/2025,60,640,17843,New Signups (Last 30 Days)
297,Mercedes,Kob,mkob88@1und1.de,Female,62.96.94.64,28/08/2025,30,10653,5843,Inactive > 90 Days
298,Boony,Le Leu,bleleu89@goo.gl,Male,249.29.23.126,20/12/2024,62,19358,12913,Inactive > 90 Days
299,Franni,McKyrrelly,fmckyrrelly8a@amazon.co.uk,Female,103.134.4.218,20/10/2025,33,12975,6696,Churn Risk
300,Hewett,Clampe,hclampe8b@fc2.com,Male,103.133.43.222,10/03/2025,75,19734,10023,Churn Risk
301,Raynell,Shaefer,rshaefer8c@census.gov,Female,254.189.161.53,17/11/2025,18,10075,17568,New Signups (Last 30 Days)
302,Jervis,Peery,jpeery8d@freewebs.com,Male,48.234.45.171,26/04/2025,30,4996,5271,New Signups (Last 30 Days)
303,Bondie,Oubridge,boubridge8e@army.mil,Male,43.207.54.172,11/03/2025,78,4397,6536,High CLV Customers
304,Sacha,Egdell,segdell8f@nationalgeographic.com,Female,43.36.225.96,02/11/2025,72,17952,3522,Inactive > 90 Days
305,Sophey,Auchterlonie,sauchterlonie8g@delicious.com,Female,111.151.103.24,11/05/2025,50,14806,5029,New Signups (Last 30 Days)
306,Myrtice,Genge,mgenge8h@fotki.com,Female,149.140.147.86,16/11/2025,59,17429,10913,New Signups (Last 30 Days)
307,Ophelie,Ramos,oramos8i@comcast.net,Female,227.92.18.171,16/09/2025,70,901,11939,Inactive > 90 Days
308,Leo,Giggs,lgiggs8j@hatena.ne.jp,Genderfluid,71.141.184.120,27/01/2025,59,10550,19337,Churn Risk
309,Nicholas,Strass,nstrass8k@lulu.com,Male,202.158.23.147,05/02/2025,60,3916,7487,New Signups (Last 30 Days)
310,Roley,Vossgen,rvossgen8l@elegantthemes.com,Male,99.247.127.183,28/03/2025,25,12782,9553,New Signups (Last 30 Days)
311,Gordan,Strain,gstrain8m@google.com.hk,Male,11.156.19.17,09/12/2024,48,12237,17914,Inactive > 90 Days
312,Baron,Dukesbury,bdukesbury8n@t.co,Male,147.186.59.115,22/11/2025,33,9100,17956,New Signups (Last 30 Days)
313,Carlina,Milmoe,cmilmoe8o@storify.com,Female,246.137.69.199,07/08/2025,28,18076,12070,Inactive > 90 Days
314,Wallache,Pleven,wpleven8p@godaddy.com,Male,24.170.172.122,02/05/2025,58,17352,11454,Inactive > 90 Days
315,Adorne,Spoure,aspoure8q@whitehouse.gov,Female,126.141.68.160,09/06/2025,35,18349,5101,High CLV Customers
316,Zerk,Cheese,zcheese8r@disqus.com,Male,138.34.250.62,08/03/2025,52,15604,3975,High CLV Customers
317,Bibi,Plevey,bplevey8s@bravesites.com,Female,239.84.251.78,11/02/2025,19,16645,10783,Inactive > 90 Days
318,Ferdy,Jeanneau,fjeanneau8t@booking.com,Male,185.137.213.243,04/04/2025,35,1699,491,High CLV Customers
319,Mack,Tees,mtees8u@fotki.com,Male,187.141.107.66,10/03/2025,43,4223,16853,New Signups (Last 30 Days)
320,Ximenes,Hughf,xhughf8v@sitemeter.com,Male,165.32.17.56,12/08/2025,50,2191,8245,Churn Risk
321,Shurlocke,Delia,sdelia8w@shareasale.com,Male,89.164.203.188,27/12/2024,25,18410,19828,New Signups (Last 30 Days)
322,Sadella,Zanelli,szanelli8x@mozilla.com,Female,169.90.226.78,30/07/2025,75,8486,7654,Inactive > 90 Days
323,Raleigh,Brixey,rbrixey8y@mashable.com,Male,31.160.52.219,17/12/2024,22,8249,12468,High CLV Customers
324,Benny,Top,btop8z@cdc.gov,Male,152.51.123.106,30/06/2025,34,17133,18135,Churn Risk
325,Arni,Drinan,adrinan90@tamu.edu,Genderqueer,110.243.184.101,10/12/2024,57,15855,3887,New Signups (Last 30 Days)
326,Taylor,Buy,tbuy91@upenn.edu,Male,14.42.47.237,14/05/2025,44,11487,1801,New Signups (Last 30 Days)
327,Joshua,Dawtry,jdawtry92@nbcnews.com,Male,254.227.170.184,13/03/2025,40,10362,2958,Churn Risk
328,Conrado,Belleny,cbelleny93@mlb.com,Male,103.59.103.35,14/04/2025,18,1030,14919,New Signups (Last 30 Days)
329,Fara,Neve,fneve94@mapy.cz,Female,235.40.228.239,13/02/2025,44,5467,6000,High CLV Customers
330,Enoch,Kulic,ekulic95@elegantthemes.com,Male,182.226.12.239,01/12/2025,57,7004,1207,Churn Risk
331,Brena,Beeckx,bbeeckx96@biglobe.ne.jp,Female,174.58.108.114,01/07/2025,61,6533,3710,New Signups (Last 30 Days)
332,Peyter,Going,pgoing97@mtv.com,Male,226.155.103.253,13/11/2025,63,14769,18773,New Signups (Last 30 Days)
333,Dionne,Donahue,ddonahue98@biglobe.ne.jp,Female,146.200.185.230,26/02/2025,27,12480,6787,Churn Risk
334,Fredi,Dairton,fdairton99@scientificamerican.com,Female,145.112.200.251,15/08/2025,49,10900,9218,Churn Risk
335,Caralie,Catling,ccatling9a@netvibes.com,Female,220.86.122.201,18/12/2024,75,17471,6510,Inactive > 90 Days
336,Isaac,Tuhy,ituhy9b@phpbb.com,Male,131.12.73.17,23/01/2025,32,5894,8075,Inactive > 90 Days
337,Esdras,Neubigging,eneubigging9c@over-blog.com,Male,34.104.186.91,15/05/2025,71,10680,6981,Churn Risk
338,Chad,Berard,cberard9d@mail.ru,Male,223.54.121.203,13/09/2025,50,12027,11271,High CLV Customers
339,Wilfred,Kybird,wkybird9e@trellian.com,Male,141.252.251.26,15/06/2025,78,5917,17872,Churn Risk
340,Katalin,Cuningham,kcuningham9f@auda.org.au,Female,252.208.85.203,23/12/2024,38,8080,10371,Inactive > 90 Days
341,Kevin,Odams,kodams9g@netscape.com,Male,139.241.223.187,23/06/2025,61,2671,15562,Churn Risk
342,Patsy,Backman,pbackman9h@networkadvertising.org,Female,248.77.118.208,31/12/2024,58,2306,12070,High CLV Customers
343,Abigael,McKue,amckue9i@columbia.edu,Female,69.25.191.131,07/06/2025,28,10096,9745,Inactive > 90 Days
344,Rossie,Youde,ryoude9j@woothemes.com,Male,229.224.227.172,23/01/2025,58,15990,2914,Inactive > 90 Days
345,Cammi,Srutton,csrutton9k@usa.gov,Female,75.39.208.211,15/04/2025,26,10926,14573,Inactive > 90 Days
346,Ulysses,Mation,umation9l@g.co,Male,21.103.173.190,12/11/2025,34,15967,19073,High CLV Customers
347,Karlee,Scripture,kscripture9m@washingtonpost.com,Female,91.53.138.85,22/12/2024,39,15343,13904,New Signups (Last 30 Days)
348,Jeffry,Farriar,jfarriar9n@behance.net,Male,101.228.238.143,18/03/2025,40,10477,3890,New Signups (Last 30 Days)
349,Rachele,Courtonne,rcourtonne9o@wikimedia.org,Female,39.215.243.101,20/02/2025,21,11576,8350,Churn Risk
350,Abby,Mewis,amewis9p@youtube.com,Male,119.132.103.132,21/02/2025,35,1642,4169,Inactive > 90 Days
351,Tootsie,Vanyukhin,tvanyukhin9q@un.org,Female,87.2.22.1,01/06/2025,35,19841,14366,Inactive > 90 Days
352,Johannah,Halliburton,jhalliburton9r@hubpages.com,Non-binary,77.195.185.41,25/10/2025,42,4095,3535,Inactive > 90 Days
353,Bartholomeus,Hurn,bhurn9s@toplist.cz,Male,112.6.94.32,11/04/2025,34,10868,16946,Inactive > 90 Days
354,Sig,Jovicevic,sjovicevic9t@mediafire.com,Male,97.57.251.124,08/08/2025,24,1614,15840,High CLV Customers
355,Jerrome,Latta,jlatta9u@cyberchimps.com,Male,28.20.162.183,20/08/2025,66,17642,17229,Inactive > 90 Days
356,Jaymie,Anscombe,janscombe9v@newsvine.com,Male,108.243.249.23,21/12/2024,24,11477,3314,New Signups (Last 30 Days)
357,Wilburt,Savoury,wsavoury9w@wp.com,Male,232.56.23.133,11/11/2025,74,1112,11620,Inactive > 90 Days
358,Tedda,Pearn,tpearn9x@merriam-webster.com,Female,35.118.158.118,04/02/2025,35,1902,18027,New Signups (Last 30 Days)
359,Wat,Adamovich,wadamovich9y@wsj.com,Male,201.248.188.153,24/09/2025,52,2247,5690,Inactive > 90 Days
360,Dorry,Bradnick,dbradnick9z@alibaba.com,Female,60.65.171.178,11/06/2025,38,3993,10453,New Signups (Last 30 Days)
361,Carrol,Pitcaithley,cpitcaithleya0@reddit.com,Male,39.252.158.203,17/10/2025,42,17095,2308,New Signups (Last 30 Days)
362,Garvin,Husby,ghusbya1@opera.com,Male,63.74.117.175,24/05/2025,31,19591,14725,Inactive > 90 Days
363,Brit,Mawford,bmawforda2@naver.com,Male,179.255.192.139,23/03/2025,70,3227,18198,Inactive > 90 Days
364,Vinnie,Stoakley,vstoakleya3@last.fm,Male,210.120.196.199,08/09/2025,63,9685,12837,New Signups (Last 30 Days)
365,Veronika,Leggate,vleggatea4@t.co,Female,131.101.247.95,06/09/2025,75,12013,16219,Inactive > 90 Days
366,Finlay,Baum,fbauma5@smh.com.au,Male,169.254.52.198,06/12/2025,80,3342,14535,Churn Risk
367,Hube,Curlis,hcurlisa6@merriam-webster.com,Male,3.19.11.218,10/05/2025,18,17729,12650,Inactive > 90 Days
368,Harlene,Gullen,hgullena7@cdbaby.com,Female,120.136.144.136,19/07/2025,78,4966,19703,Inactive > 90 Days
369,Lenci,Kubiczek,lkubiczeka8@ustream.tv,Male,151.92.6.0,14/04/2025,59,2815,7451,High CLV Customers
370,Patrizio,De Domenici,pdedomenicia9@wsj.com,Male,221.209.158.246,25/09/2025,18,7189,15022,Inactive > 90 Days
371,Dickie,Insko,dinskoaa@tamu.edu,Male,193.105.245.38,14/06/2025,55,9902,8699,Churn Risk
372,Haleigh,Armytage,harmytageab@fema.gov,Male,128.66.238.212,27/07/2025,40,10748,13726,High CLV Customers
373,Cameron,Roberts,crobertsac@photobucket.com,Male,218.241.109.247,19/08/2025,48,15648,1086,High CLV Customers
374,Louie,Mailey,lmaileyad@squidoo.com,Male,70.45.67.137,17/03/2025,21,8352,210,Churn Risk
375,Rolf,Lilion,rlilionae@microsoft.com,Male,159.159.92.206,04/10/2025,63,5289,3008,New Signups (Last 30 Days)
376,Ashley,Moakler,amoakleraf@webs.com,Male,15.15.33.35,23/10/2025,26,1625,16582,High CLV Customers
377,Gordy,Kleinholz,gkleinholzag@mediafire.com,Male,167.87.50.232,28/06/2025,65,12588,1471,High CLV Customers
378,Dun,Zanassi,dzanassiah@elpais.com,Male,236.119.119.68,10/11/2025,73,14034,19999,New Signups (Last 30 Days)
379,Lonee,Greenroa,lgreenroaai@usa.gov,Female,56.117.218.227,07/03/2025,39,11448,19394,Inactive > 90 Days
380,Mitch,Farrer,mfarreraj@huffingtonpost.com,Male,18.246.66.132,22/07/2025,69,9053,17711,Churn Risk
381,Quintin,Iacofo,qiacofoak@boston.com,Male,237.237.190.48,04/12/2025,45,1361,15876,High CLV Customers
382,Carolynn,Alves,calvesal@tinypic.com,Female,160.237.17.158,20/05/2025,37,1041,17712,Churn Risk
383,Jason,Clench,jclencham@myspace.com,Agender,253.201.175.224,19/09/2025,71,3985,8083,Inactive > 90 Days
384,Roscoe,Etteridge,retteridgean@wordpress.com,Male,159.242.149.96,25/07/2025,37,10991,11451,High CLV Customers
385,Ophelia,Henrot,ohenrotao@google.cn,Female,200.60.41.130,15/11/2025,74,12451,6879,High CLV Customers
386,Dallas,Sylett,dsylettap@sphinn.com,Male,146.148.24.137,10/10/2025,26,7265,10541,Churn Risk
387,Maurine,Siddons,msiddonsaq@shop-pro.jp,Female,160.228.225.179,14/01/2025,34,3726,18187,New Signups (Last 30 Days)
388,Gilburt,Prudence,gprudencear@edublogs.org,Male,255.1.183.95,05/08/2025,28,18168,16064,Inactive > 90 Days
389,Maridel,Crole,mcroleas@zdnet.com,Female,131.35.252.81,05/01/2025,79,12141,14988,Churn Risk
390,Veronique,Fullun,vfullunat@mtv.com,Female,99.39.30.88,14/10/2025,26,9448,6139,Churn Risk
391,Gustavus,Kenner,gkennerau@seattletimes.com,Male,56.235.171.54,08/10/2025,71,19884,19594,New Signups (Last 30 Days)
392,Chandal,Siward,csiwardav@so-net.ne.jp,Female,42.185.243.25,21/03/2025,47,16608,8920,New Signups (Last 30 Days)
393,Tiebout,Lesor,tlesoraw@arstechnica.com,Male,57.145.212.112,10/10/2025,80,8305,10822,Inactive > 90 Days
394,Charlena,Caush,ccaushax@eepurl.com,Agender,76.98.91.172,05/02/2025,18,11515,7809,New Signups (Last 30 Days)
395,Atlanta,Morot,amorotay@meetup.com,Female,235.116.255.89,18/01/2025,63,6799,6576,Churn Risk
396,Catlin,Colqueran,ccolqueranaz@europa.eu,Female,223.228.215.52,28/09/2025,49,6416,6666,Inactive > 90 Days
397,Rosemonde,McLorinan,rmclorinanb0@discovery.com,Female,194.28.232.87,11/05/2025,25,6518,1453,Inactive > 90 Days
398,Daisie,Capin,dcapinb1@tumblr.com,Agender,27.151.17.236,26/04/2025,42,14894,8893,New Signups (Last 30 Days)
399,Constantine,Puig,cpuigb2@adobe.com,Female,196.2.109.181,10/07/2025,56,15580,1775,High CLV Customers
400,Cos,Torrese,ctorreseb3@va.gov,Bigender,174.20.202.149,06/09/2025,61,12830,10098,High CLV Customers
401,Lesya,Jerrems,ljerremsb4@ca.gov,Female,219.42.183.59,31/07/2025,18,10864,17519,High CLV Customers
402,Charlotte,Belliss,cbellissb5@loc.gov,Female,126.35.165.148,08/07/2025,29,2861,6535,High CLV Customers
403,Marie,Mottini,mmottinib6@tamu.edu,Female,141.56.29.51,11/05/2025,77,1519,19318,Inactive > 90 Days
404,Wood,Seres,wseresb7@bing.com,Male,5.101.67.187,21/06/2025,58,18609,13340,Inactive > 90 Days
405,Thatch,Overstreet,toverstreetb8@acquirethisname.com,Male,211.163.74.203,19/08/2025,32,12042,16202,Churn Risk
406,Brendan,Winkell,bwinkellb9@berkeley.edu,Male,19.184.190.176,26/04/2025,62,14507,338,New Signups (Last 30 Days)
407,Osborn,Khristyukhin,okhristyukhinba@un.org,Male,95.63.109.164,30/07/2025,46,743,13370,High CLV Customers
408,Nedi,Walkling,nwalklingbb@bloglines.com,Female,104.206.53.55,17/11/2025,57,4364,2478,New Signups (Last 30 Days)
409,Clio,McCullough,cmcculloughbc@scientificamerican.com,Female,89.164.251.80,04/06/2025,60,17934,19929,Inactive > 90 Days
410,Rolf,Follet,rfolletbd@dell.com,Male,98.105.136.96,04/03/2025,76,15902,19876,Churn Risk
411,Tracy,Clarridge,tclarridgebe@wikispaces.com,Male,27.63.232.211,08/02/2025,54,2246,6055,New Signups (Last 30 Days)
412,Mamie,Yurocjkin,myurocjkinbf@ning.com,Female,247.234.12.20,21/09/2025,34,16591,18424,High CLV Customers
413,Ransom,Mcall,rmcallbg@zimbio.com,Male,53.133.201.91,13/06/2025,33,6182,1575,High CLV Customers
414,Burnard,Gelder,bgelderbh@reference.com,Male,84.202.128.108,18/06/2025,55,10811,13846,New Signups (Last 30 Days)
415,Valencia,Shevlane,vshevlanebi@simplemachines.org,Female,211.122.31.162,29/03/2025,77,8618,7300,High CLV Customers
416,Vincents,Warret,vwarretbj@cornell.edu,Male,124.3.46.190,20/09/2025,54,17298,9838,Inactive > 90 Days
417,Gilbert,Oldcote,goldcotebk@sun.com,Agender,14.123.147.42,01/01/2025,60,7228,12937,New Signups (Last 30 Days)
418,Kath,Oulet,kouletbl@hc360.com,Female,178.166.92.164,13/04/2025,20,2771,2545,Inactive > 90 Days
419,Danna,Bentson,dbentsonbm@auda.org.au,Female,167.216.110.29,12/09/2025,63,1163,13858,Inactive > 90 Days
420,James,Tolan,jtolanbn@sina.com.cn,Male,201.56.3.152,12/06/2025,79,360,13151,New Signups (Last 30 Days)
421,Walliw,Blyde,wblydebo@blogtalkradio.com,Female,231.152.104.25,06/05/2025,40,9643,1448,High CLV Customers
422,Julee,Aleso,jalesobp@wikimedia.org,Female,173.58.124.105,11/09/2025,30,3485,1419,High CLV Customers
423,Amber,Biggins,abigginsbq@livejournal.com,Female,211.162.58.236,16/05/2025,44,14747,4727,High CLV Customers
424,Rona,Valde,rvaldebr@deliciousdays.com,Genderqueer,192.10.216.17,19/05/2025,34,3977,7245,High CLV Customers
425,Cal,Frowing,cfrowingbs@pen.io,Agender,194.239.120.237,02/07/2025,65,5979,15892,Churn Risk
426,Cass,Milnthorpe,cmilnthorpebt@mlb.com,Male,152.130.146.65,19/12/2024,35,277,9112,Churn Risk
427,Jacky,Dunbabin,jdunbabinbu@hp.com,Male,149.120.38.252,14/12/2024,47,9046,8272,High CLV Customers
428,Garrot,Webberley,gwebberleybv@harvard.edu,Male,173.156.112.7,08/04/2025,27,12596,17852,New Signups (Last 30 Days)
429,Avrit,Baughen,abaughenbw@samsung.com,Polygender,5.251.77.227,04/06/2025,74,8093,1068,High CLV Customers
430,Margery,Fessier,mfessierbx@google.fr,Female,224.24.58.59,28/04/2025,77,6208,14921,New Signups (Last 30 Days)
431,Roman,Pease,rpeaseby@dyndns.org,Male,15.29.188.203,02/01/2025,73,11862,331,New Signups (Last 30 Days)
432,Kermie,Hinze,khinzebz@blog.com,Male,36.72.72.212,02/02/2025,22,8788,9600,Inactive > 90 Days
433,Rasia,Livard,rlivardc0@dion.ne.jp,Female,205.27.210.82,03/09/2025,51,13175,11212,High CLV Customers
434,Eleanor,McPake,emcpakec1@washingtonpost.com,Female,249.214.0.185,07/01/2025,56,16608,5546,Inactive > 90 Days
435,Rasia,Extence,rextencec2@fda.gov,Genderfluid,12.133.102.59,20/10/2025,63,1981,10675,New Signups (Last 30 Days)
436,Guillema,Walcher,gwalcherc3@youtu.be,Genderfluid,190.84.163.56,31/12/2024,19,15675,2026,Inactive > 90 Days
437,Gearalt,Tame,gtamec4@nytimes.com,Male,18.91.90.115,27/06/2025,33,19545,5125,Inactive > 90 Days
438,Pate,Atwater,patwaterc5@samsung.com,Male,23.254.110.237,28/06/2025,36,2699,16247,High CLV Customers
439,Gladi,Vater,gvaterc6@businessinsider.com,Female,159.203.13.182,26/12/2024,77,19583,13519,New Signups (Last 30 Days)
440,Karim,Pauluzzi,kpauluzzic7@mlb.com,Male,126.32.105.104,16/12/2024,35,18396,14008,High CLV Customers
441,Keefer,Coot,kcootc8@patch.com,Male,52.40.54.15,16/09/2025,58,3169,7134,Inactive > 90 Days
442,Mahmud,Prahl,mprahlc9@free.fr,Male,136.221.48.245,26/03/2025,80,1095,14334,Churn Risk
443,Gardiner,Edland,gedlandca@jugem.jp,Male,26.78.38.168,17/10/2025,22,6406,14796,Inactive > 90 Days
444,Horatio,Eveling,hevelingcb@adobe.com,Male,23.74.154.171,10/06/2025,33,2858,18694,Churn Risk
445,Ellynn,Dulwitch,edulwitchcc@nasa.gov,Female,59.49.190.126,16/11/2025,66,6415,11097,Inactive > 90 Days
446,Anselm,Cuthill,acuthillcd@furl.net,Male,225.104.144.118,28/03/2025,78,399,3138,New Signups (Last 30 Days)
